Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501CW11091,529620,177960,-0.134574,51.485745,1,3,2,1,2015-07-24,6,July,18:38:00,18,1,E09000033,3,3212,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01004738
201501CW11092,527140,181600,-0.168961,51.51902,1,3,1,1,2015-07-23,5,July,22:00:00,22,1,E09000033,3,5,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01033594
201501CW11093,527550,179510,-0.163811,51.500145,1,3,2,1,2015-07-23,5,July,22:05:00,22,1,E09000033,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004689
201501CW11094,526930,181440,-0.172044,51.517629,1,3,1,1,2015-07-23,5,July,17:05:00,17,1,E09000033,3,4205,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033593
201501CW11096,530260,178980,-0.124986,51.494765,1,3,2,1,2015-06-29,2,June,17:30:00,17,1,E09000033,3,3212,1,30,1,4,3,3203,0,0,1,1,1,0,0,1,2,E01004733
201501CW11097,527570,181970,-0.162634,51.522248,1,3,1,1,2015-07-15,4,July,17:12:00,17,1,E09000033,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01004661
201501CW11099,528590,179510,-0.148836,51.49991,1,3,1,1,2015-07-27,2,July,13:20:00,13,1,E09000033,3,302,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01004690
201501CW11100,528340,178920,-0.15265,51.494664,1,2,2,1,2015-07-27,2,July,10:51:00,10,1,E09000033,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01004687
201501CW11101,528760,179320,-0.146458,51.498163,1,3,2,1,2015-07-27,2,July,14:10:00,14,1,E09000033,3,3217,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004731
201501CW11103,526670,182650,-0.175355,51.528562,1,3,2,1,2015-07-25,7,July,16:22:00,16,1,E09000033,4,507,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01004726
201501CW11104,527910,181960,-0.157739,51.522081,1,3,1,1,2015-07-28,3,July,07:51:00,7,1,E09000033,3,501,3,30,6,2,3,41,0,5,1,1,1,0,0,1,1,E01004660
201501CW11105,528870,179160,-0.144932,51.496701,1,3,1,2,2015-07-29,4,July,22:00:00,22,1,E09000033,3,3214,2,30,6,2,3,302,0,5,4,1,1,0,0,1,1,E01004750
201501CW11107,530040,180610,-0.127553,51.509463,1,3,2,1,2015-07-28,3,July,14:00:00,14,1,E09000033,3,400,6,30,3,4,5,0,0,1,1,1,1,0,0,1,1,E01004736
201501CW11108,528400,180730,-0.151128,51.510917,1,3,1,1,2015-07-28,3,July,18:20:00,18,1,E09000033,5,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004761
201501CW11109,530420,180350,-0.122177,51.507039,1,3,1,1,2015-07-29,4,July,19:05:00,19,1,E09000033,3,3211,3,30,0,-1,-1,0,0,4,1,1,1,0,0,2,1,E01004733
201501CW11110,529550,180810,-0.134537,51.511373,1,3,1,2,2015-07-29,4,July,21:05:00,21,1,E09000033,6,0,2,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01033595
201501CW11112,527130,181610,-0.169102,51.519112,1,3,1,1,2015-07-28,3,July,19:40:00,19,1,E09000033,3,5,6,30,3,2,3,4205,0,5,1,1,1,0,0,1,1,E01033594
201501CW11113,527480,181260,-0.164187,51.515888,1,3,2,1,2015-07-31,6,July,16:00:00,16,1,E09000033,3,5,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01004686
201501CW11116,525140,182240,-0.197544,51.525218,1,3,2,1,2015-07-17,6,July,11:40:00,11,1,E09000033,5,0,6,30,6,2,5,0,0,5,1,1,1,0,0,1,2,E01004675
201501CW11117,526870,182080,-0.172678,51.523394,1,3,2,1,2015-07-21,3,July,09:10:00,9,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01033605
201501CW11118,528410,179720,-0.151352,51.501838,1,3,2,1,2015-07-25,7,July,16:00:00,16,1,E09000033,3,4,1,30,1,4,3,302,0,0,1,1,1,0,0,1,2,E01004731
201501CW11119,524860,182580,-0.201458,51.528335,1,3,2,1,2015-07-31,6,July,20:59:00,20,1,E09000033,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01004678
201501CW11120,530620,180910,-0.119089,51.512026,1,3,2,1,2015-07-31,6,July,11:48:00,11,1,E09000033,3,4,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004735
201501CW11121,528090,182020,-0.155124,51.52258,1,3,1,1,2015-07-31,6,July,11:00:00,11,1,E09000033,3,501,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01004727
201501CW11122,528910,182060,-0.143297,51.522753,1,3,2,1,2015-07-31,6,July,10:15:00,10,1,E09000033,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01004715
201501CW11123,530930,181000,-0.114591,51.512763,1,3,1,2,2015-07-30,5,July,15:00:00,15,1,E09000033,3,4,2,30,6,2,3,4,0,5,1,1,1,0,0,1,1,E01004735
201501CW11125,528810,180130,-0.145442,51.505431,1,3,1,1,2015-07-31,6,July,22:00:00,22,1,E09000033,3,4,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004736
201501CW11126,529730,180500,-0.132058,51.508546,1,3,2,1,2015-07-31,6,July,23:58:00,23,1,E09000033,3,4,6,30,3,4,3,4,0,0,4,1,1,0,0,1,1,E01004736
201501CW11127,527660,181060,-0.161666,51.51405,1,3,1,1,2015-07-31,6,July,14:52:00,14,1,E09000033,3,5,6,30,6,2,3,5204,0,5,1,1,1,0,0,1,1,E01004680
201501CW11128,529620,180470,-0.133653,51.508302,1,3,1,1,2015-08-01,7,August,17:55:00,17,1,E09000033,3,4,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004736
201501CW11129,529050,181230,-0.141584,51.515262,1,3,1,2,2015-08-01,7,August,17:24:00,17,1,E09000033,3,40,3,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01033595
201501CW11130,529190,181270,-0.139553,51.51559,1,3,1,2,2015-08-01,7,August,13:50:00,13,1,E09000033,3,40,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01033595
201501CW11131,527580,181150,-0.162786,51.514877,1,3,2,2,2015-08-02,1,August,01:00:00,1,1,E09000033,3,5,6,30,6,4,5,0,0,0,4,1,1,0,0,1,1,E01004680
201501CW11132,527920,181960,-0.157595,51.522079,1,3,2,1,2015-08-02,1,August,20:05:00,20,1,E09000033,3,501,3,30,6,2,3,41,0,5,4,1,1,0,0,1,1,E01004660
201501CW11133,527560,181160,-0.163071,51.514971,1,3,2,1,2015-08-02,1,August,21:27:00,21,1,E09000033,3,5,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01004680
201501CW11136,529820,180200,-0.130872,51.505829,1,3,2,1,2015-07-23,5,July,19:02:00,19,1,E09000033,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01004736
201501CW11137,529730,177990,-0.13298,51.48599,1,3,2,1,2015-07-27,2,July,08:30:00,8,1,E09000033,3,3212,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01004738
201501CW11139,527890,182070,-0.157988,51.523074,1,3,2,1,2015-07-25,7,July,07:20:00,7,1,E09000033,3,41,2,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01004660
201501CW11140,530420,180350,-0.122177,51.507039,1,3,2,1,2015-07-28,3,July,23:00:00,23,1,E09000033,3,3211,3,30,0,-1,-1,0,0,0,4,1,1,0,0,2,2,E01004733
201501CW11141,529120,178160,-0.141698,51.487657,1,3,1,2,2015-07-24,6,July,17:51:00,17,1,E09000033,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004665
201501CW11142,527870,182240,-0.158214,51.524607,1,3,1,2,2015-08-02,1,August,11:25:00,11,1,E09000033,6,0,6,30,7,4,6,0,0,4,1,1,1,0,0,1,1,E01004727
201501CW11143,529930,178300,-0.129987,51.48873,1,3,2,1,2015-07-30,5,July,08:45:00,8,1,E09000033,3,202,6,30,6,2,3,3212,0,5,1,1,1,0,0,1,1,E01004737
201501CW11144,527840,180890,-0.159135,51.512481,1,3,2,1,2015-07-31,6,July,12:07:00,12,1,E09000033,3,40,2,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01004689
201501CW11145,527890,182070,-0.157988,51.523074,1,3,2,1,2015-07-31,6,July,11:40:00,11,1,E09000033,3,41,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004660
201501CW11146,529080,177980,-0.14234,51.486048,1,3,2,1,2015-08-03,2,August,14:09:00,14,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004665
201501CW11147,530170,178530,-0.126448,51.490741,1,3,2,2,2015-08-04,3,August,08:46:00,8,1,E09000033,3,3212,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004745
201501CW11148,530090,180430,-0.1269,51.507834,1,2,1,1,2015-08-02,1,August,07:00:00,7,1,E09000033,3,4,6,30,1,2,3,4,0,5,1,1,1,0,0,1,1,E01004736
201501CW11149,530050,180390,-0.12749,51.507484,1,3,2,1,2015-07-25,7,July,01:51:00,1,1,E09000033,3,4,2,30,1,2,4,308,0,5,4,1,1,0,0,1,1,E01004736
201501CW11150,530470,180440,-0.121423,51.507837,1,3,1,1,2015-07-24,6,July,03:00:00,3,1,E09000033,3,3211,3,30,0,-1,-1,0,0,0,4,1,1,4,0,1,2,E01004733
201501CW11151,524630,182340,-0.204857,51.526229,1,3,2,1,2015-08-04,3,August,15:58:00,15,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004721
201501CW11153,525560,181650,-0.191703,51.519822,1,3,2,1,2015-08-04,3,August,17:10:00,17,1,E09000033,3,40,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01032512
201501CW11154,527770,181900,-0.159778,51.521574,1,3,1,2,2015-08-05,4,August,12:22:00,12,1,E09000033,3,41,6,30,6,2,3,501,0,5,1,1,1,0,0,1,1,E01004662
201501CW11156,529080,179150,-0.141912,51.496563,1,3,2,1,2015-08-05,4,August,10:00:00,10,1,E09000033,3,302,6,30,3,4,3,302,0,4,1,1,1,0,0,1,1,E01004748
201501CW11157,529160,181260,-0.139989,51.515506,1,3,1,1,2015-08-05,4,August,15:00:00,15,1,E09000033,3,40,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033595
201501CW11158,529820,180200,-0.130872,51.505829,1,3,2,1,2015-08-05,4,August,16:22:00,16,1,E09000033,5,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01004736
201501CW11159,530320,181090,-0.123344,51.513713,1,3,1,1,2015-08-06,5,August,08:30:00,8,1,E09000033,4,402,6,30,6,4,4,401,0,1,1,1,1,0,0,1,1,E01004735
201501CW11160,527910,180920,-0.158116,51.512735,1,3,1,1,2015-08-06,5,August,11:00:00,11,1,E09000033,3,40,3,30,3,4,3,4202,0,0,1,1,1,0,0,1,1,E01004689
201501CW11162,530660,180650,-0.11861,51.50968,1,3,3,1,2015-08-06,5,August,08:50:00,8,1,E09000033,3,3211,3,30,3,2,6,0,0,5,1,1,1,0,0,2,1,E01004735
201501CW11163,528780,181170,-0.145495,51.514784,1,3,1,1,2015-08-06,5,August,08:50:00,8,1,E09000033,3,40,6,30,3,4,5,0,0,4,1,1,1,0,0,1,1,E01033595
201501CW11164,527240,179690,-0.16821,51.501832,1,3,2,1,2015-08-06,5,August,13:49:00,13,1,E09000033,3,315,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,
201501CW11165,528540,181340,-0.14889,51.516367,1,3,2,1,2015-08-06,5,August,06:41:00,6,1,E09000033,3,5204,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01004714
201501CW11166,529270,179580,-0.13902,51.500384,1,3,2,1,2015-08-06,5,August,11:05:00,11,1,E09000033,5,0,6,30,3,4,5,0,0,4,1,1,1,0,0,1,1,E01004736
201501CW11167,525750,181560,-0.188999,51.518971,1,2,2,3,2015-08-10,2,August,00:34:00,0,1,E09000033,4,411,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01004656
