Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Weather_Conditions,Road_Surface_Conditions,Speed_limit
201501LX50117,-0.111222,51.444365,3,2,1,2015-02-01,1,February,18:00:00,18,1,1,30
201501LX50118,-0.14051,51.460211,3,4,3,2015-02-10,3,February,17:55:00,17,1,1,30
201501LX50119,-0.135778,51.449165,3,3,1,2015-02-10,3,February,08:00:00,8,1,1,30
201501LX50120,-0.138523,51.413507,3,2,1,2015-02-11,4,February,17:15:00,17,1,1,30
201501LX50123,-0.121727,51.433833,3,2,1,2015-02-09,2,February,10:15:00,10,1,1,30
201501LX50124,-0.136383,51.462573,3,2,1,2015-02-08,1,February,21:29:00,21,1,1,30
201501LX50125,-0.112628,51.476581,3,2,1,2015-02-08,1,February,04:28:00,4,1,1,30
201501LX50126,-0.136243,51.462481,3,2,1,2015-02-10,3,February,22:49:00,22,1,1,30
201501LX50127,-0.115999,51.461168,3,1,1,2015-02-10,3,February,06:38:00,6,1,1,30
201501LX50129,-0.122159,51.472418,3,2,1,2015-02-07,7,February,01:38:00,1,1,1,30
201501LX50130,-0.145749,51.469466,3,2,1,2015-02-05,5,February,08:54:00,8,1,2,30
201501LX50131,-0.123092,51.449681,3,2,1,2015-02-08,1,February,17:10:00,17,1,1,30
201501LX50132,-0.124233,51.414808,3,1,1,2015-02-14,7,February,13:48:00,13,1,1,30
201501LX50133,-0.120048,51.485243,3,2,1,2015-02-10,3,February,17:40:00,17,1,1,30
201501LX50134,-0.145469,51.455073,3,2,1,2015-02-14,7,February,21:18:00,21,1,2,30
201501LX50135,-0.122594,51.472335,3,2,1,2015-02-17,3,February,18:50:00,18,1,1,30
201501LX50136,-0.11667,51.486808,3,2,1,2015-02-16,2,February,18:31:00,18,1,1,30
201501LX50137,-0.10657,51.50463,3,2,1,2015-02-16,2,February,19:15:00,19,2,2,30
201501LX50138,-0.111233,51.489418,3,2,2,2015-02-12,5,February,22:30:00,22,1,1,30
201501LX50139,-0.136243,51.462481,3,2,1,2015-02-17,3,February,11:00:00,11,1,1,30
201501LX50140,-0.103234,51.491267,3,3,2,2015-02-17,3,February,11:23:00,11,1,1,30
201501LX50143,-0.135513,51.462739,3,1,1,2015-02-17,3,February,10:30:00,10,1,1,30
201501LX50144,-0.138891,51.461084,3,2,1,2015-02-14,7,February,19:10:00,19,1,2,30
201501LX50147,-0.133641,51.473321,2,1,1,2015-02-13,6,February,15:45:00,15,2,2,30
201501LX50148,-0.11348,51.476865,3,2,1,2015-02-17,3,February,17:38:00,17,1,1,30
201501LX50149,-0.112553,51.481886,3,2,1,2015-02-13,6,February,06:10:00,6,2,2,30
201501LX50150,-0.135567,51.472002,3,1,1,2015-02-16,2,February,18:20:00,18,2,2,30
201501LX50151,-0.107573,51.463011,3,2,1,2015-02-09,2,February,08:28:00,8,1,1,30
201501LX50152,-0.106614,51.440963,3,1,1,2015-02-13,6,February,14:50:00,14,2,2,30
201501LX50153,-0.108162,51.480106,3,1,1,2015-02-12,5,February,17:58:00,17,1,1,30
201501LX50155,-0.111381,51.503269,3,2,1,2015-02-15,1,February,13:05:00,13,1,1,30
201501LX50156,-0.115338,51.435259,3,2,1,2015-02-13,6,February,17:58:00,17,1,2,30
201501LX50157,-0.129623,51.430722,3,2,1,2015-02-08,1,February,14:30:00,14,1,1,30
201501LX50158,-0.098522,51.445239,3,2,1,2015-02-19,5,February,12:50:00,12,1,1,30
201501LX50159,-0.144365,51.468095,2,2,1,2015-02-20,6,February,19:38:00,19,1,1,30
201501LX50160,-0.131123,51.464468,3,2,1,2015-02-18,4,February,11:18:00,11,1,1,30
201501LX50163,-0.106326,51.440959,3,2,3,2015-02-08,1,February,01:35:00,1,1,1,30
201501LX50164,-0.145469,51.455073,3,2,1,2015-01-15,5,January,18:20:00,18,1,1,30
201501LX50165,-0.099092,51.448845,3,3,1,2015-02-20,6,February,18:20:00,18,1,1,30
201501LX50167,-0.143639,51.461159,3,2,3,2015-02-21,7,February,22:26:00,22,8,1,30
201501LX50168,-0.093092,51.471949,3,2,2,2015-02-24,3,February,14:50:00,14,1,1,30
201501LX50169,-0.123292,51.483407,3,1,1,2015-02-25,4,February,13:15:00,13,1,1,30
201501LX50170,-0.131381,51.426433,3,2,1,2015-02-19,5,February,09:23:00,9,1,1,30
201501LX50171,-0.135952,51.462566,3,1,1,2015-02-25,4,February,12:39:00,12,1,2,30
201501LX50172,-0.10549,51.488966,3,1,1,2015-02-25,4,February,20:57:00,20,1,1,30
201501LX50173,-0.123262,51.459576,3,2,1,2015-02-25,4,February,19:25:00,19,1,1,30
201501LX50174,-0.100909,51.450134,3,2,1,2015-02-21,7,February,11:17:00,11,1,1,30
201501LX50175,-0.108225,51.454209,3,2,1,2015-02-24,3,February,14:54:00,14,1,1,30
201501LX50176,-0.101683,51.452304,3,2,1,2015-02-23,2,February,13:20:00,13,1,1,30
201501LX50177,-0.125195,51.415903,3,2,1,2015-02-26,5,February,11:25:00,11,1,1,30
201501LX50178,-0.108797,51.440369,3,2,2,2015-02-01,1,February,18:00:00,18,1,1,30
201501LX50179,-0.10544,51.424128,3,2,1,2015-02-22,1,February,17:58:00,17,2,2,30
201501LX50181,-0.113801,51.455108,3,2,1,2015-02-20,6,February,18:40:00,18,1,1,30
201501LX50182,-0.113536,51.454564,3,2,1,2015-02-27,6,February,12:10:00,12,1,1,30
201501LX50183,-0.113555,51.489006,3,1,1,2015-02-26,5,February,14:52:00,14,1,1,30
201501LX50185,-0.137282,51.426347,3,1,2,2015-03-03,3,March,20:05:00,20,1,1,30
201501LX50186,-0.131247,51.475531,3,2,1,2015-03-02,2,March,14:40:00,14,1,1,30
201501LX50187,-0.121377,51.459906,3,1,1,2015-03-02,2,March,15:53:00,15,1,1,30
201501LX50189,-0.110848,51.481319,3,2,1,2015-02-27,6,February,12:30:00,12,1,1,30
201501LX50190,-0.11101,51.480872,3,2,1,2015-02-22,1,February,21:18:00,21,1,1,30
201501LX50192,-0.116832,51.489868,3,2,1,2015-02-24,3,February,08:45:00,8,1,1,30
201501LX50193,-0.129648,51.465343,3,2,3,2015-02-28,7,February,19:23:00,19,2,2,30
201501LX50194,-0.10603,51.43421,3,2,1,2015-02-04,4,February,08:39:00,8,1,1,30
201501LX50195,-0.127705,51.481139,3,1,1,2015-03-01,1,March,12:21:00,12,1,1,30
201501LX50196,-0.132221,51.472848,3,1,2,2015-03-03,3,March,13:48:00,13,1,1,30
201501LX50197,-0.137121,51.462135,3,1,1,2015-02-28,7,February,01:30:00,1,1,1,30
201501LX50198,-0.12457,51.445209,3,2,2,2015-02-28,7,February,21:20:00,21,1,2,30
201501LX50199,-0.124375,51.446465,3,3,1,2015-03-04,4,March,19:41:00,19,1,1,30
201501LX50200,-0.132588,51.463862,3,2,1,2015-02-28,7,February,13:50:00,13,1,1,30
201501LX50201,-0.115376,51.455313,3,2,1,2015-03-03,3,March,17:45:00,17,1,1,30
201501LX50202,-0.122602,51.472155,3,1,1,2015-02-12,5,February,07:00:00,7,1,1,30
201501LX50203,-0.129537,51.422267,3,2,1,2015-03-05,5,March,08:10:00,8,1,1,30
201501LX50205,-0.117542,51.486642,3,2,1,2015-03-06,6,March,08:27:00,8,1,1,30
201501LX50206,-0.125639,51.44019,3,2,1,2015-03-07,7,March,19:20:00,19,1,1,30
201501LX50207,-0.118049,51.467316,3,1,1,2015-03-08,1,March,03:09:00,3,1,1,30
201501LX50208,-0.124988,51.459604,3,2,2,2015-03-06,6,March,11:55:00,11,1,1,30
201501LX50209,-0.119004,51.475605,3,2,1,2015-03-08,1,March,15:30:00,15,1,1,30
201501LX50211,-0.120196,51.474635,3,2,1,2015-03-09,2,March,13:00:00,13,1,1,30
201501LX50212,-0.11491,51.463129,3,1,1,2015-02-27,6,February,23:50:00,23,1,1,30
201501LX50213,-0.118623,51.484861,3,2,1,2015-03-01,1,March,09:57:00,9,1,1,30
201501LX50214,-0.128676,51.432775,3,2,2,2015-03-05,5,March,05:45:00,5,1,1,30
201501LX50216,-0.117178,51.498956,3,2,1,2015-03-10,3,March,14:40:00,14,1,1,30
201501LX50217,-0.112869,51.467233,3,2,1,2015-03-05,5,March,20:15:00,20,1,1,30
201501LX50218,-0.130386,51.464906,3,2,1,2015-03-09,2,March,09:35:00,9,1,1,30
201501LX50221,-0.120517,51.466816,3,2,1,2015-03-12,5,March,17:09:00,17,1,1,30
201501LX50222,-0.119021,51.443681,3,2,1,2015-03-12,5,March,18:45:00,18,1,1,30
201501LX50223,-0.124034,51.486386,3,2,1,2015-03-12,5,March,08:10:00,8,1,1,30
201501LX50224,-0.121709,51.451818,3,1,1,2015-03-12,5,March,16:02:00,16,1,1,30
